country_iso3,region,year,value_range,numeric_value,low,high,disaggregation,data_source
HTI,Americas,2005,No data,,,,WEALTHDECILE_WEALTHDECILE10,DHS
TLS,South-East Asia,2009,No data,,,,DHSMICSGEOREGION_TLSDHS200913,DHS
EGY,Eastern Mediterranean,2000,No data,,,,WEALTHDECILE_WEALTHDECILE01,DHS
ALB,Europe,2017,No data,,,,WEALTHQUINTILE_WQ5,DHS
CMR,Africa,2004,No data,,,,DHSMICSGEOREGION_CMRDHS200405,DHS
GUY,Americas,2006,60.0 [42.4-75.3],59.9991,42.42959,75.32493,RESIDENCEAREATYPE_URB,MICS
SEN,Africa,1997,No data,,,,WEALTHDECILE_WEALTHDECILE03,DHS
VNM,Western Pacific,2002,No data,,,,EDUCATIONLEVEL_SHLM,DHS
PER,Americas,2011,No data,,,,WEALTHDECILE_WEALTHDECILE10,DHS
IDN,Western Pacific,2002,No data,,,,WEALTHQUINTILE_WQ5,DHS
SLE,Africa,2005,47.8 [35.9-59.9],47.79126,35.92748,59.90958,WEALTHDECILE_WEALTHDECILE04,MICS
AFG,Eastern Mediterranean,2015,62.3 [55.5-68.6],62.2769,55.46947,68.63217,SEX_MLE,DHS
GUY,Americas,2019,No data,,,,DHSMICSGEOREGION_GUYMICS201908,MICS
KHM,Western Pacific,2000,No data,,,,WEALTHQUINTILE_WQ5,DHS
HND,Americas,2019,65.6 [56.9-73.3],65.56939,56.90909,73.30559,WEALTHQUINTILE_WQ1,MICS
GTM,Americas,1995,No data,,,,DHSMICSGEOREGION_GTMDHS199502,DHS
GNB,Africa,2018,No data,,,,WEALTHQUINTILE_WQ2,MICS
NGA,Africa,2018,74.2 [67.6-79.9],74.19508,67.55279,79.88256,RESIDENCEAREATYPE_URB,DHS
SWZ,Africa,2014,61.8 [52.1-70.6],61.7984,52.08964,70.64835,SEX_MLE,MICS
PER,Americas,2008,No data,,,,DHSMICSGEOREGION_PERDHS200801,DHS
DZA,Africa,2018,30.0 [18.1-45.4],29.98225,18.08518,45.37082,WEALTHDECILE_WEALTHDECILE06,MICS
SOM,Eastern Mediterranean,2006,No data,,,,EDUCATIONLEVEL_SHLM,MICS
SYR,Eastern Mediterranean,2006,66.7 [58.2-74.2],66.66715,58.15637,74.2144,WEALTHQUINTILE_WQ2,MICS
SLV,Americas,2014,78.4 [71.4-84.1],78.41362,71.4407,84.06382,RESIDENCEAREATYPE_RUR,MICS
NGA,Africa,2007,No data,,,,DHSMICSGEOREGION_NGAMICS200716,MICS
IRQ,Eastern Mediterranean,2018,No data,,,,AGEGROUP_YEARS20-49,MICS
BEN,Africa,2006,No data,,,,EDUCATIONLEVEL_PRLM,DHS
MDA,Europe,2005,No data,,,,WEALTHDECILE_WEALTHDECILE10,DHS
VUT,Western Pacific,2007,No data,,,,DHSMICSGEOREGION_VUTMICS200708,MICS
STP,Africa,2008,No data,,,,WEALTHQUINTILE_WQ5,DHS
EGY,Eastern Mediterranean,2014,60.4 [44.5-74.3],60.35287,44.53792,74.26406,DHSMICSGEOREGION_EGYDHS201406,DHS
MLI,Africa,2015,23.2 [15.3-33.6],23.23806,15.31012,33.64057,SEX_FMLE,MICS
MDG,Africa,2008,41.0 [34.1-48.3],41.00708,34.06883,48.3227,AGEGROUP_YEARS20-49,DHS
SWZ,Africa,2006,73.3 [62.1-82.2],73.33781,62.11525,82.18916,EDUCATIONLEVEL_SHLM,DHS
COD,Africa,2007,No data,,,,EDUCATIONLEVEL_SHLM,DHS
KHM,Western Pacific,2000,No data,,,,WEALTHDECILE_WEALTHDECILE07,DHS
PER,Americas,2020,58.8 [44.3-71.9],58.77892,44.33736,71.85234,RESIDENCEAREATYPE_RUR,DHS
NGA,Africa,2016,44.5 [25.0-65.8],44.4543,24.9572,65.8228,DHSMICSGEOREGION_NGAMICS201615,MICS
VNM,Western Pacific,2013,No data,,,,WEALTHQUINTILE_WQ2,MICS
